[2025-06-27 12:57:45]  KeyloggerHunterAI initialized.
[2025-06-27 12:57:46]  Registry persistence flag: OneDrive -> "C:\Program Files\Microsoft OneDrive\OneDrive.exe" /background in Software\Microsoft\Windows\CurrentVersion\Run
[2025-06-27 12:57:47]  Registry persistence flag: MicrosoftEdgeAutoLaunch_28CC4C91291F97998E40A29656715B1C -> "C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe" --win-session-start in Software\Microsoft\Windows\CurrentVersion\Run
[2025-06-27 12:57:47]  Registry persistence flag: eo-miner -> "C:\Users\USER\AppData\Local\Programs\eo-miner\eo-miner.exe" --hidden in Software\Microsoft\Windows\CurrentVersion\Run
[2025-06-27 12:57:47]  Suspicious process detected: csrss.exe (C:\Windows\System32\csrss.exe)
[2025-06-27 12:57:47]  Registry persistence flag: eo-miner -> "C:\Users\USER\AppData\Local\Programs\eo-miner\eo-miner.exe" --hidden in Software\Microsoft\Windows\CurrentVersion\Run
[2025-06-27 12:57:48]  Suspicious process detected: smss.exe (C:\Windows\System32\smss.exe)
[2025-06-27 12:57:48]  Registry persistence flag: utweb -> "C:\Users\USER\AppData\Roaming\uTorrent Web\utweb.exe" /MINIMIZED in Software\Microsoft\Windows\CurrentVersion\Run
[2025-06-27 12:57:48]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:57:49]  Suspicious process detected: csrss.exe (C:\Windows\System32\csrss.exe)
[2025-06-27 12:57:49]  Registry persistence flag: utweb -> "C:\Users\USER\AppData\Roaming\uTorrent Web\utweb.exe" /MINIMIZED in Software\Microsoft\Windows\CurrentVersion\Run
[2025-06-27 12:57:49]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:57:49]  Registry persistence flag: utweb -> "C:\Users\USER\AppData\Roaming\uTorrent Web\utweb.exe" /MINIMIZED in Software\Microsoft\Windows\CurrentVersion\Run
[2025-06-27 12:57:50]  Suspicious process detected: wininit.exe (C:\Windows\System32\wininit.exe)
[2025-06-27 12:57:50]  Registry persistence flag: ut -> "C:\Users\USER\AppData\Roaming\uTorrent\uTorrent.exe"  /MINIMIZED in Software\Microsoft\Windows\CurrentVersion\Run
[2025-06-27 12:57:50]  Suspicious process detected: winlogon.exe (C:\Windows\System32\winlogon.exe)
[2025-06-27 12:57:50]  Registry persistence flag: ut -> "C:\Users\USER\AppData\Roaming\uTorrent\uTorrent.exe"  /MINIMIZED in Software\Microsoft\Windows\CurrentVersion\Run
[2025-06-27 12:57:50]  API module detected: msedgewebview2.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:57:50]  Suspicious process detected: services.exe (C:\Windows\System32\services.exe)
[2025-06-27 12:57:50]  Registry persistence flag: ut -> "C:\Users\USER\AppData\Roaming\uTorrent\uTorrent.exe"  /MINIMIZED in Software\Microsoft\Windows\CurrentVersion\Run
[2025-06-27 12:57:51]  API module detected: Zoom.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:57:51]  Suspicious process detected: lsaiso.exe (C:\Windows\System32\LsaIso.exe)
[2025-06-27 12:57:51]  API module detected: msedgewebview2.exe is using user32.dll from C:\Windows\System32\en-US\user32.dll.mui
[2025-06-27 12:57:51]  Registry persistence flag: AvastBrowserAutoLaunch_AB5B36DAA96B20B6C16997EBB1285031 -> "C:\Program Files\AVAST Software\Browser\Application\AvastBrowser.exe" --check-run=src=logon --auto-launch-at-startup --profile-directory="Default" in Software\Microsoft\Windows\CurrentVersion\Run
[2025-06-27 12:57:51]  Suspicious process detected: lsass.exe (C:\Windows\System32\lsass.exe)
[2025-06-27 12:57:51]  API module detected: msedgewebview2.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:57:51]  Suspicious process detected: msedgewebview2.exe (C:\Program Files (x86)\Microsoft\EdgeWebView\Application\137.0.3296.93\msedgewebview2.exe)
[2025-06-27 12:57:51]  API module detected: msedge.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:57:51]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
285031 -> "C:\Program Files\AVAST Software\Browser\Application\AvastBrowser.exe" --check-run=src=logon --auto-launch-at-startup --profile-directory="Default" in Software\Microsoft\Windows\CurrentVersion\Run
[2025-06-27 12:57:51]  API module detected: SmartAudio3.exe is using user32.dll from C:\Windows\System32\en-US\user32.dll.mui
[2025-06-27 12:57:51]  Registry persistence flag: WindowsHelper -> C:\Users\Public\worm.py in Software\Microsoft\Windows\CurrentVersion\Run
[2025-06-27 12:57:51]  API module detected: SmartAudio3.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:57:51]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:57:51]  Registry persistence flag: SecurityHealth -> %windir%\system32\SecurityHealthSystray.exe in Software\Microsoft\Windows\CurrentVersion\Run
[2025-06-27 12:57:51]  API module detected: svchost.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:57:51]  Registry persistence flag: SecurityHealth -> %windir%\system32\SecurityHealthSystray.exe in Software\Microsoft\Windows\CurrentVersion\Run
[2025-06-27 12:57:51]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:57:51]  Registry persistence flag: ExcludeProfileDirs -> AppData\Local;AppData\LocalLow;$Recycle.Bin;OneDrive;Work Folders in Software\Microsoft\Windows NT\CurrentVersion\Winlogon
[2025-06-27 12:57:51]  API module detected: CrossDeviceResume.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:57:51]  Suspicious process detected: wudfhost.exe (C:\Windows\System32\WUDFHost.exe)
[2025-06-27 12:57:51]  API module detected: Flow.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:57:52]  Suspicious process detected: fontdrvhost.exe (C:\Windows\System32\fontdrvhost.exe)
[2025-06-27 12:57:52]  API module detected: AdobeCollabSync.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:57:52]  Suspicious process detected: fontdrvhost.exe (C:\Windows\System32\fontdrvhost.exe)
[2025-06-27 12:57:52]  API module detected: svchost.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:57:52]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:57:52]  API module detected: SynTPEnh.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:57:52]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:57:52]  API module detected: svchost.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:57:52]  API module detected: msedgewebview2.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:57:52]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:57:52]  API module detected: TextInputHost.exe is using input.dll from C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInput.dll
[2025-06-27 12:57:52]  Suspicious process detected: wudfhost.exe (C:\Windows\System32\WUDFHost.exe)
[2025-06-27 12:57:52]  API module detected: TextInputHost.exe is using input.dll from C:\Windows\System32\Windows.UI.Core.TextInput.dll
[2025-06-27 12:57:52]  Suspicious process detected: mousocoreworker.exe (C:\Windows\UUS\Packages\Preview\amd64\MoUsoCoreWorker.exe)
[2025-06-27 12:57:52]  API module detected: TextInputHost.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:57:53]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:57:53]  API module detected: AppVShNotify.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:57:53]  API module detected: dllhost.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:57:53]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:57:53]  API module detected: OktaVerify.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:57:53]  Suspicious process detected: zoom.exe (C:\Users\USER\AppData\Roaming\Zoom\bin\Zoom.exe)
[2025-06-27 12:57:53]  API module detected: svchost.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:57:53]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:57:53]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:57:53]  API module detected: taskhostw.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:57:54]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:57:54]  API module detected: SecurityHealthSystray.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:57:54]  Suspicious process detected: dwm.exe (C:\Windows\System32\dwm.exe)
[2025-06-27 12:57:54]  API module detected: msedge.exe is using user32.dll from C:\Windows\System32\en-US\user32.dll.mui
[2025-06-27 12:57:54]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:57:54]  API module detected: msedge.exe is using input.dll from C:\Windows\System32\ninput.dll
[2025-06-27 12:57:54]  Suspicious process detected: intelcphdcpsvc.exe (C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_4e41a1e74551d4db\IntelCpHDCPSvc.exe)
[2025-06-27 12:57:54]  API module detected: msedge.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:57:54]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:57:54]  API module detected: python.exe is using user32.dll from C:\Windows\System32\en-US\user32.dll.mui
[2025-06-27 12:57:54]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:57:54]  API module detected: python.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:57:54]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:57:55]  API module detected: explorer.exe is using user32.dll from C:\Windows\System32\en-US\user32.dll.mui
[2025-06-27 12:57:55]  Suspicious process detected: intelcphecisvc.exe (C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_4e41a1e74551d4db\IntelCpHeciSvc.exe)
[2025-06-27 12:57:55]  API module detected: explorer.exe is using input.dll from C:\Windows\System32\Windows.UI.Core.TextInput.dll
[2025-06-27 12:57:55]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:57:55]  API module detected: explorer.exe is using input.dll from C:\Windows\SystemApps\Microsoft.WindowsAppRuntime.CBS_8wekyb3d8bbwe\Microsoft.UI.Input.dll
[2025-06-27 12:57:55]  API module detected: explorer.exe is using input.dll from C:\Windows\System32\ninput.dll
[2025-06-27 12:57:55]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
